Project,Scenario,Dollar_year,Weather_year,Start_day,census_division,country,tz,t
Standard_scenarios_2020,LowRECost,2019$,2012,Sunday,WSC,usa,CT,2050
timestamp,timestamp_local,busbar_load,busbar_load_for_enduse,enduse_load,storage_charging,net_load_busbar,battery_charging,phs_charging,trans_losses,distloss_rate_avg,distloss_rate_marg,spin_MW,spin_shadow_price,flex_MW,flex_shadow_price,reg_MW,reg_shadow_price,curt_solar,curt_wind,co2_rate_avg_gen,co2_rate_avg_load_enduse,co2_srmer_enduse,co2_lrmer_enduse,energy_cost_busbar,op_res_cost_busbar,capacity_cost_busbar,portfolio_cost_busbar,total_cost_busbar,energy_cost_enduse,op_res_cost_enduse,capacity_cost_enduse,portfolio_cost_enduse,total_cost_enduse,generation,variable_generation,nuclear_MWh,coal_MWh,coal-ccs_MWh,o-g-s_MWh,gas-cc_MWh,gas-cc-ccs_MWh,gas-ct_MWh,hydro_MWh,geothermal_MWh,biomass_MWh,wind-ons_MWh,wind-ofs_MWh,csp_MWh,upv_MWh,distpv_MWh,phs_MWh,battery_MWh,canada_MWh
2050-01-01 01:00:00,2050-01-01 00:00:00,50403.4,48634.1,46543.5,1267.0,5851.7,1262.0,5.0,502.2,0.043,0.051,1459.0,0.0,4278.2,0.0,700.3,0.0,0.0,799.4,11.1,11.4,23.2,220.4,2.36,0.0,0.0,0.0,2.36,2.57,0.0,0.0,0.0,2.57,47493.1,42782.4,2475.0,0.0,0.0,0.0,1456.7,0.0,0.0,58.6,0.0,167.5,42782.4,0.0,0.0,0.0,0.0,0.0,553.0,0.0
2050-01-01 02:00:00,2050-01-01 01:00:00,50264.8,47702.5,45659.0,2030.7,4495.4,2028.2,2.5,531.6,0.0428,0.05,1431.1,0.0,4320.7,0.0,693.1,0.0,0.0,1463.6,10.6,11.9,43.8,207.9,2.18,0.0,0.0,0.0,2.18,2.41,0.0,0.0,0.0,2.41,47319.2,43207.1,2475.0,0.0,0.0,0.0,1401.0,0.0,0.0,58.6,0.0,167.5,43207.1,0.0,0.0,0.0,0.0,0.0,10.0,0.0
2050-01-01 03:00:00,2050-01-01 02:00:00,48241.2,47059.7,45047.3,655.8,5793.7,650.8,5.0,525.8,0.0428,0.0494,1411.8,0.0,4126.6,0.0,676.9,0.0,0.0,1604.3,10.7,10.8,22.8,222.1,2.26,0.0,0.0,0.0,2.26,2.43,0.0,0.0,0.0,2.43,45585.7,41266.0,2475.0,0.0,0.0,0.0,1359.6,0.0,0.0,58.6,0.0,167.5,41266.0,0.0,0.0,0.0,0.0,0.0,259.0,0.0
2050-01-01 04:00:00,2050-01-01 03:00:00,49818.8,47334.8,45308.7,1930.3,4658.3,1930.3,0.0,553.7,0.0428,0.0497,1420.0,0.0,4267.7,0.0,686.7,0.0,0.0,702.1,10.1,10.5,22.3,236.4,2.16,0.0,0.0,0.0,2.16,2.38,0.0,0.0,0.0,2.38,46947.8,42676.6,2475.0,0.0,0.0,0.0,1319.7,0.0,0.0,58.6,0.0,167.5,42676.6,0.0,0.0,0.0,0.0,0.0,250.4,0.0
2050-01-01 05:00:00,2050-01-01 04:00:00,49519.9,48021.1,45960.3,944.3,5962.3,939.3,5.0,554.5,0.0429,0.0504,1440.6,0.0,4205.9,0.0,690.5,0.0,0.0,1804.0,10.3,10.4,48.0,218.6,2.17,0.0,0.0,0.0,2.17,2.34,0.0,0.0,0.0,2.34,46750.8,42058.8,2475.0,0.0,0.0,0.0,1333.0,0.0,0.0,58.6,0.0,167.5,42058.8,0.0,0.0,0.0,0.0,0.0,658.0,0.0
2050-01-01 06:00:00,2050-01-01 05:00:00,51184.7,49510.9,47374.2,1114.7,6266.1,1109.7,5.0,559.1,0.0432,0.052,1485.3,0.0,4324.5,0.0,711.3,0.0,0.0,269.1,10.5,10.5,27.9,215.8,2.12,0.0,0.0,0.0,2.12,2.29,0.0,0.0,0.0,2.29,47630.5,43244.9,2475.0,0.0,0.0,0.0,1387.8,0.0,0.0,58.6,0.0,167.5,43244.9,0.0,0.0,0.0,0.0,0.0,296.8,0.0
2050-01-01 07:00:00,2050-01-01 06:00:00,52343.5,50657.0,48461.0,1171.3,6190.8,1171.3,0.0,515.2,0.0433,0.0531,1519.7,0.0,4446.6,0.0,728.9,0.0,0.0,1190.9,10.6,10.7,22.0,207.3,2.12,0.0,0.0,0.0,2.12,2.3,0.0,0.0,0.0,2.3,48860.7,44466.2,2475.0,0.0,0.0,0.0,1434.5,0.0,0.0,58.6,0.0,167.5,44466.2,0.0,0.0,0.0,0.0,0.0,259.0,0.0
2050-01-01 08:00:00,2050-01-01 07:00:00,53480.4,52114.8,49841.4,828.1,6398.9,823.1,5.0,537.5,0.0436,0.0546,1563.4,0.0,5515.8,0.0,821.2,0.0,0.0,163.8,5.7,5.6,21.9,212.2,2.12,0.0,0.0,0.0,2.12,2.28,0.0,0.0,0.0,2.28,49435.0,45715.9,2475.0,0.0,0.0,0.0,785.1,0.0,0.0,58.6,0.0,167.5,45463.1,0.0,0.0,203.0,49.8,0.0,233.0,0.0
2050-01-01 09:00:00,2050-01-01 08:00:00,60732.3,53133.7,50805.0,7348.6,-3116.9,7348.6,0.0,250.1,0.0438,0.0557,1594.0,0.0,7316.5,0.0,990.4,0.0,595.8,548.0,2.6,2.9,18.2,140.5,0.3,0.0,0.0,0.0,0.3,0.36,0.0,0.0,0.0,0.36,59383.4,56250.5,2475.0,0.0,0.0,0.0,431.8,0.0,0.0,58.6,0.0,167.5,35862.7,0.0,0.0,16490.3,3897.5,0.0,0.0,0.0
2050-01-01 10:00:00,2050-01-01 09:00:00,60089.0,53563.8,51211.6,6349.0,-6219.1,6349.0,0.0,176.2,0.0439,0.0561,1606.9,0.0,6465.5,0.0,952.2,0.0,3496.3,1690.6,2.5,3.0,21.6,118.2,0.43,0.0,0.0,0.0,0.43,0.38,0.0,0.0,0.0,0.38,62915.7,59782.9,2475.0,0.0,0.0,0.0,431.8,0.0,0.0,58.6,0.0,167.5,27353.3,0.0,0.0,26046.2,6383.3,0.0,0.0,0.0
